doc_id,date,tip,period,canonical,label,count,max_score
2025-03-14_arcul-de-triumf-va-fi-deschis-permanent-pentru-vizitare-ince,2025-03-14,facebook-post,2025Q2 campanie + investitură,reginei maria,persoană politică,1,0.644
2025-03-14_arcul-de-triumf-va-fi-deschis-permanent-pentru-vizitare-ince,2025-03-14,facebook-post,2025Q2 campanie + investitură,țării noastre,țară,1,0.45
2025-03-14_te-astept-sambata-15-martie-in-orasele-tulcea-si-constanta-s,2025-03-14,facebook-post,2025Q2 campanie + investitură,românia,țară,1,0.809
2025-03-14_te-astept-sambata-15-martie-in-orasele-tulcea-si-constanta-s,2025-03-14,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.826
2025-03-14_tinerii-au-nevoie-de-motive-sa-ramana-in-romania-si-sa-conti,2025-03-14,facebook-post,2025Q2 campanie + investitură,românia,țară,1,0.959
2025-03-14_tinerii-au-nevoie-de-motive-sa-ramana-in-romania-si-sa-conti,2025-03-14,facebook-post,2025Q2 campanie + investitură,românie,țară,1,0.818
2025-03-14_tinerii-au-nevoie-de-motive-sa-ramana-in-romania-si-sa-conti,2025-03-14,facebook-post,2025Q2 campanie + investitură,nicusorpresedinte,persoană politică,1,0.753
2025-03-14_tinerii-au-nevoie-de-motive-sa-ramana-in-romania-si-sa-conti,2025-03-14,facebook-post,2025Q2 campanie + investitură,romaniaonesta,țară,1,0.876
2025-03-15_anul-acesta-se-implinesc-35-de-ani-de-la-citirea-proclamatie,2025-03-15,facebook-post,2025Q2 campanie + investitură,românia,țară,2,0.936
2025-03-15_anul-acesta-se-implinesc-35-de-ani-de-la-citirea-proclamatie,2025-03-15,facebook-post,2025Q2 campanie + investitură,regimul comunist,instituție națională,1,0.501
2025-03-15_felicit-comunitatea-maghiara-din-romania-cu-ocazia-zilei-mag,2025-03-15,facebook-post,2025Q2 campanie + investitură,românia,țară,1,0.959
2025-03-15_la-constanta-am-simtit-ca-oamenii-vor-cu-adevarat-o-schimbar,2025-03-15,facebook-post,2025Q2 campanie + investitură,administrația portului,instituție națională,1,0.467
2025-03-15_la-constanta-am-simtit-ca-oamenii-vor-cu-adevarat-o-schimbar,2025-03-15,facebook-post,2025Q2 campanie + investitură,românia,țară,1,0.886
